date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:40	128592/128592	---MCZ	200	added ('OK')	font/otf	etag:W/%22fc8769e99b4a9c9a9ca0208c2a908c18%22	https://compound.finance/compound-components/fonts/NeueHaasGrotTextRound-65Medium.otf	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/fonts/NeueHaasGrotTextRound-65Medium.otf	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:40	126288/126288	---MCZ	200	added ('OK')	font/ttf	etag:W/%22a8e5075453912b09efc13ff960405a52%22	https://compound.finance/compound-components/fonts/NeueHaasGrotTextRound-75Bold.otf	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/fonts/NeueHaasGrotTextRound-75Bold.otf	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:40	320/320	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22487115b97398631b852644c69a9dbdbe%22	https://compound.finance/images/icn-build-arrows-purple.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icn-build-arrows-purple.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:41	4148/4148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ab4e7f43393128880cd2cc85a98c8d55%22	https://compound.finance/images/icn-dev-ctoken.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icn-dev-ctoken.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:41	57002/57002	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cbb68ef3e5546f526e047f33c9b626ba%22	https://compound.finance/images/dev-header-grid.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/dev-header-grid.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:42	1632/1632	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22a54ddb2ac23c8c6101ce7de0101cbe43%22	https://compound.finance/images/developer-header-icn-discord.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/developer-header-icn-discord.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:42	1630/1630	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d38991b1c8a6c1343285a8bf1990a8c4%22	https://compound.finance/images/icn-discord-white.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icn-discord-white.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:42	2785/2785	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f4be09accd984ac72a259cbb37e6cdb9%22	https://compound.finance/images/build-circles.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/build-circles.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:43	2308/2308	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220f6406aadebd30b71abc73bb6d1d478c%22	https://compound.finance/images/setup_voting.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/setup_voting.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:43	187/187	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d024274c2273b78b4201de99144221dd%22	https://compound.finance/compound-components/assets/icn-drop-down-light.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/compound-components/assets/icn-drop-down-light.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:44	1310/1310	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2249b1a1a2e72b6dd5c84334937f5583ca%22	https://compound.finance/images/icn-external-link-green.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/icn-external-link-green.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:44	5225/5225	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216696e25a57126ab3c0a5dfface3dff9%22	https://compound.finance/images/asset_ETH.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/asset_ETH.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:44	548/548	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e85ab2a1b71c2d783b0a9e5dbf147411%22	https://compound.finance/images/asset_WETH.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/asset_WETH.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:44	1523/1523	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ea196f93b03e09d47d5af527932ec33a%22	https://compound.finance/images/asset_MATIC.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/asset_MATIC.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
14:05:46	668/668	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cf6edb02b09c3abbaade4195a6cb2803%22	https://compound.finance/images/asset_V2.svg	C:/My%20Web%20Sites/clone%20pro/compound.finance/images/asset_V2.svg	(from https://compound.finance/static/css/landing.dddaad77.chunk.css)
